source,target
Piperrak,Segismundo Toxicómano
Piperrak,Envidia Kotxina
Piperrak,M.C.D.
Piperrak,Parabellum
Piperrak,Kortatu
Piperrak,Manolo Kabezabolo
Piperrak,Kaotiko
Piperrak,Gatillazo
Piperrak,Disidencia
Piperrak,Lendakaris Muertos
Piperrak,El Último Ke Zierre
Piperrak,Los Muertos de Cristo
Piperrak,Konsumo Respeto
Piperrak,RIP
Piperrak,Agua Bendita
Piperrak,Soziedad Alkoholika
Piperrak,Tijuana in blue
Piperrak,The Kagas
segismuno toxicomano,Parabellum
Parabellum,M.C.D.
Parabellum,Cicatriz
Parabellum,Vómito
Parabellum,Tijuana in blue
Parabellum,Distorsión
Parabellum,RIP
Parabellum,Commando 9mm
Parabellum,Subversión X
Parabellum,Zer Bizio?
Parabellum,Andanada 7
Parabellum,Potrotaino
Parabellum,37 Hostias
Parabellum,Kaos Etíliko
Parabellum,Zirrosis
Parabellum,Matando Gratix
Parabellum,The Kagas
Parabellum,Disidencia
Parabellum,Decibelios
Parabellum,RADIOCRIMEN
Parabellum,Segismundo Toxicómano
segismuno toxicomano,Kaotiko
Kaotiko,Kaos Etíliko
Kaotiko,Segismundo Toxicómano
Kaotiko,Piperrak
Kaotiko,Envidia Kotxina
Kaotiko,Gatillazo
Kaotiko,Lendakaris Muertos
Kaotiko,El Último Ke Zierre
Kaotiko,Konsumo Respeto
Kaotiko,Malos Vicios
Kaotiko,Boikot
Kaotiko,Disidencia
Kaotiko,Los De Marras
Kaotiko,Parabellum
Kaotiko,Fe de Ratas
Kaotiko,Desakato
Kaotiko,Soziedad Alkoholika
Kaotiko,Cicatriz
Kaotiko,No Konforme
Kaotiko,Kaos Urbano
Kaotiko,Porretas
segismuno toxicomano,Manolo Kabezabolo
Manolo Kabezabolo,A Palo Seko
Manolo Kabezabolo,Cicatriz
Manolo Kabezabolo,M.C.D.
Manolo Kabezabolo,Kaos Etíliko
Manolo Kabezabolo,Envidia Kotxina
Manolo Kabezabolo,Segismundo Toxicómano
Manolo Kabezabolo,Piperrak
Manolo Kabezabolo,Fe de Ratas
Manolo Kabezabolo,Ni por favor ni ostias
Manolo Kabezabolo,Ostia Puta
Manolo Kabezabolo,The Kagas
Manolo Kabezabolo,Asto Pituak
Manolo Kabezabolo,Lendakaris Muertos
Manolo Kabezabolo,Parabellum
Manolo Kabezabolo,Disidencia
Manolo Kabezabolo,RIP
