source,target
KAROL G,Maluma
KAROL G,Ozuna
KAROL G,Feid
KAROL G,J Balvin
KAROL G,Daddy Yankee
KAROL G,Cazzu
KAROL G,Anuel AA
KAROL G,Sech
KAROL G,Piso 21
KAROL G,Farruko
KAROL G,Romeo Santos
KAROL G,Bad Bunny
KAROL G,Nicky Jam
The Temptations,Four Tops
The Temptations,Smokey Robinson & The Miracles
The Temptations,The Supremes
The Temptations,Smokey Robinson
The Temptations,Gladys Knight & The Pips
The Temptations,The Miracles
The Temptations,The Spinners
The Temptations,The O'Jays
The Temptations,Martha Reeves & The Vandellas
The Temptations,The Chi-Lites
The Temptations,The Isley Brothers
The Temptations,Commodores
The Temptations,The Stylistics
The Temptations,The Marvelettes
The Temptations,Jackie Wilson
The Temptations,Diana Ross
The Temptations,Harold Melvin & The Blue Notes
The Temptations,The Drifters
The Temptations,Percy Sledge
The Temptations,Marvin Gaye
Coldplay,OneRepublic
Coldplay,Oasis
Coldplay,Maroon 5
Coldplay,Keane
Coldplay,U2
Coldplay,Imagine Dragons
Coldplay,Snow Patrol
Coldplay,The Chainsmokers
Coldplay,The Script
Coldplay,Calvin Harris
Coldplay,Adele
Coldplay,Avicii
Coldplay,Sia
Coldplay,Bruno Mars
Coldplay,Queen
Coldplay,Sam Smith
Coldplay,Twenty One Pilots
Coldplay,Ed Sheeran
Coldplay,The Killers
Coldplay,David Guetta
Ariana Grande,Camila Cabello
Ariana Grande,Selena Gomez
Ariana Grande,Demi Lovato
Ariana Grande,Dua Lipa
Ariana Grande,Doja Cat
Ariana Grande,Katy Perry
Ariana Grande,Fifth Harmony
Ariana Grande,Shawn Mendes
Ariana Grande,Olivia Rodrigo
Ariana Grande,Nicki Minaj
Ariana Grande,Little Mix
Ariana Grande,Cardi B
Ariana Grande,Meghan Trainor
Ariana Grande,Miley Cyrus
Ariana Grande,Halsey
Ariana Grande,Billie Eilish
Ariana Grande,Harry Styles
Ariana Grande,ZAYN
Ariana Grande,Rihanna
Ariana Grande,Sabrina Carpenter
Bon Jovi,Jon Bon Jovi
Bon Jovi,Def Leppard
Bon Jovi,Aerosmith
Bon Jovi,Poison
Bon Jovi,Scorpions
Bon Jovi,Whitesnake
Bon Jovi,Europe
Bon Jovi,Van Halen
Bon Jovi,Guns N' Roses
Bon Jovi,KISS
Bon Jovi,Bryan Adams
Bon Jovi,Skid Row
Bon Jovi,Journey
Bon Jovi,Mötley Crüe
Bon Jovi,Twisted Sister
Bon Jovi,Alice Cooper
Bon Jovi,Foreigner
Bon Jovi,Ozzy Osbourne
Bon Jovi,U2
Bon Jovi,The Police
Smash Mouth,Sugar Ray
Smash Mouth,Barenaked Ladies
Smash Mouth,Spin Doctors
Smash Mouth,Semisonic
Smash Mouth,Everclear
Smash Mouth,Third Eye Blind
Smash Mouth,Eve 6
Smash Mouth,Hootie & The Blowfish
Smash Mouth,Lit
Smash Mouth,The Wallflowers
Smash Mouth,The Verve Pipe
Smash Mouth,Marcy Playground
Smash Mouth,Crash Test Dummies
Smash Mouth,Gin Blossoms
Smash Mouth,Counting Crows
Smash Mouth,Matchbox Twenty
Smash Mouth,Collective Soul
Smash Mouth,Uncle Kracker
Smash Mouth,Fastball
Smash Mouth,The Presidents Of The United States Of America
The Verve,Richard Ashcroft
The Verve,Travis
The Verve,Manic Street Preachers
The Verve,Supergrass
The Verve,Blur
The Verve,The Charlatans
The Verve,Ian Brown
The Verve,Ocean Colour Scene
The Verve,Stereophonics
The Verve,The Stone Roses
The Verve,Pulp
The Verve,Happy Mondays
The Verve,Liam Gallagher
The Verve,Primal Scream
The Verve,Noel Gallagher
The Verve,Noel Gallagher's High Flying Birds
The Verve,Suede
The Verve,James
The Verve,Kasabian
The Verve,Kaiser Chiefs
Corinne Bailey Rae,Joss Stone
Corinne Bailey Rae,Macy Gray
Corinne Bailey Rae,India.Arie
Corinne Bailey Rae,Duffy
Corinne Bailey Rae,Lianne La Havas
Corinne Bailey Rae,Norah Jones
Corinne Bailey Rae,Jill Scott
Corinne Bailey Rae,KT Tunstall
Corinne Bailey Rae,Ms. Lauryn Hill
Corinne Bailey Rae,Erykah Badu
Corinne Bailey Rae,Emily King
Corinne Bailey Rae,Janelle Monáe
Corinne Bailey Rae,Amel Larrieux
Corinne Bailey Rae,Des'ree
Corinne Bailey Rae,Esperanza Spalding
Corinne Bailey Rae,Angie Stone
Corinne Bailey Rae,Etta James
Corinne Bailey Rae,Raphael Saadiq
Corinne Bailey Rae,Lily Allen
Corinne Bailey Rae,D'Angelo
Fleetwood Mac,Stevie Nicks
Fleetwood Mac,Tom Petty and the Heartbreakers
Fleetwood Mac,Eagles
Fleetwood Mac,Steve Miller Band
Fleetwood Mac,Tom Petty
Fleetwood Mac,The Doobie Brothers
Fleetwood Mac,Heart
Fleetwood Mac,Daryl Hall & John Oates
Fleetwood Mac,Steely Dan
Fleetwood Mac,Bob Seger
Fleetwood Mac,Billy Joel
Fleetwood Mac,Van Morrison
Fleetwood Mac,Boston
Fleetwood Mac,Pat Benatar
Fleetwood Mac,John Mellencamp
Fleetwood Mac,The Cars
Fleetwood Mac,"Crosby, Stills & Nash"
Fleetwood Mac,Foreigner
Fleetwood Mac,David Bowie
Fleetwood Mac,Electric Light Orchestra
Coldplay,OneRepublic
Coldplay,Oasis
Coldplay,Maroon 5
Coldplay,Keane
Coldplay,U2
Coldplay,Imagine Dragons
Coldplay,Snow Patrol
Coldplay,The Chainsmokers
Coldplay,The Script
Coldplay,Calvin Harris
Coldplay,Adele
Coldplay,Avicii
Coldplay,Sia
Coldplay,Bruno Mars
Coldplay,Queen
Coldplay,Sam Smith
Coldplay,Twenty One Pilots
Coldplay,Ed Sheeran
Coldplay,The Killers
Coldplay,David Guetta
Weezer,CAKE
Weezer,Jimmy Eat World
Weezer,The Smashing Pumpkins
Weezer,The Presidents Of The United States Of America
Weezer,Pixies
Weezer,Third Eye Blind
Weezer,Modest Mouse
Weezer,The White Stripes
Weezer,Sublime
Weezer,Beck
Weezer,Everclear
Weezer,311
Weezer,Soundgarden
Weezer,Stone Temple Pilots
Weezer,Beastie Boys
Weezer,Hole
Weezer,Incubus
Weezer,Blur
Weezer,my bloody valentine
Weezer,Nine Inch Nails
Bob Marley & The Wailers,Peter Tosh
Bob Marley & The Wailers,Ziggy Marley
Bob Marley & The Wailers,The Wailers
Bob Marley & The Wailers,Jimmy Cliff
Bob Marley & The Wailers,Damian Marley
Bob Marley & The Wailers,Steel Pulse
Bob Marley & The Wailers,Jimi Hendrix
Bob Marley & The Wailers,Stephen Marley
Bob Marley & The Wailers,UB40
Bob Marley & The Wailers,Gregory Isaacs
Bob Marley & The Wailers,The Doors
Bob Marley & The Wailers,Israel Vibration
Bob Marley & The Wailers,Bob Dylan
Bob Marley & The Wailers,Marvin Gaye
Bob Marley & The Wailers,Stevie Wonder
Bob Marley & The Wailers,James Brown
Bob Marley & The Wailers,The Rolling Stones
Bob Marley & The Wailers,Led Zeppelin
Bob Marley & The Wailers,Janis Joplin
Bob Marley & The Wailers,B.B. King
Ben E. King,Percy Sledge
Ben E. King,The Drifters
Ben E. King,Jackie Wilson
Ben E. King,Wilson Pickett
Ben E. King,Sam & Dave
Ben E. King,The Shirelles
Ben E. King,The Righteous Brothers
Ben E. King,Brook Benton
Ben E. King,Ike & Tina Turner
Ben E. King,Four Tops
Ben E. King,The Marvelettes
Ben E. King,Sam Cooke
Ben E. King,Martha Reeves & The Vandellas
Ben E. King,Smokey Robinson & The Miracles
Ben E. King,The Platters
Ben E. King,Jimmy Ruffin
Ben E. King,The Miracles
Ben E. King,Otis Redding
Ben E. King,The Chiffons
Ben E. King,James Brown & The Famous Flames
The Beatles,John Lennon
The Beatles,Paul McCartney
