Any;Valor;Sector;;;;
mar-06;55,466;Begudes alcohòliques i tabac;;;;
feb-06;52,52;Begudes alcohòliques i tabac;;;;
ene-06;54,088;Begudes alcohòliques i tabac;;;;
dic-05;55,292;Begudes alcohòliques i tabac;;;;
nov-05;55,232;Begudes alcohòliques i tabac;;;;
oct-05;55,203;Begudes alcohòliques i tabac;;;;
sep-05;55,112;Begudes alcohòliques i tabac;;;;
ago-05;54,72;Begudes alcohòliques i tabac;;;;
jul-05;54,668;Begudes alcohòliques i tabac;;;;
jun-05;54,667;Begudes alcohòliques i tabac;;;;
may-05;54,46;Begudes alcohòliques i tabac;;;;
abr-05;54,439;Begudes alcohòliques i tabac;;;;
mar-05;52,77;Begudes alcohòliques i tabac;;;;
feb-05;52,772;Begudes alcohòliques i tabac;;;;
ene-05;52,691;Begudes alcohòliques i tabac;;;;
dic-04;52,607;Begudes alcohòliques i tabac;;;;
nov-04;52,611;Begudes alcohòliques i tabac;;;;
oct-04;52,63;Begudes alcohòliques i tabac;;;;
sep-04;52,641;Begudes alcohòliques i tabac;;;;
ago-04;52,614;Begudes alcohòliques i tabac;;;;
jul-04;52,596;Begudes alcohòliques i tabac;;;;
jun-04;52,537;Begudes alcohòliques i tabac;;;;
may-04;52,177;Begudes alcohòliques i tabac;;;;
abr-04;50,115;Begudes alcohòliques i tabac;;;;
mar-04;50,07;Begudes alcohòliques i tabac;;;;
feb-04;50,002;Begudes alcohòliques i tabac;;;;
ene-04;49,937;Begudes alcohòliques i tabac;;;;
dic-03;49,868;Begudes alcohòliques i tabac;;;;
nov-03;49,819;Begudes alcohòliques i tabac;;;;
oct-03;49,808;Begudes alcohòliques i tabac;;;;
sep-03;49,808;Begudes alcohòliques i tabac;;;;
ago-03;49,806;Begudes alcohòliques i tabac;;;;
jul-03;49,785;Begudes alcohòliques i tabac;;;;
jun-03;49,519;Begudes alcohòliques i tabac;;;;
may-03;49,511;Begudes alcohòliques i tabac;;;;
abr-03;49,479;Begudes alcohòliques i tabac;;;;
mar-03;49,428;Begudes alcohòliques i tabac;;;;
feb-03;49,324;Begudes alcohòliques i tabac;;;;
ene-03;48,58;Begudes alcohòliques i tabac;;;;
dic-02;48,516;Begudes alcohòliques i tabac;;;;
nov-02;48,53;Begudes alcohòliques i tabac;;;;
oct-02;48,523;Begudes alcohòliques i tabac;;;;
sep-02;48,515;Begudes alcohòliques i tabac;;;;
ago-02;48,506;Begudes alcohòliques i tabac;;;;
jul-02;48,475;Begudes alcohòliques i tabac;;;;
jun-02;48,447;Begudes alcohòliques i tabac;;;;
may-02;48,446;Begudes alcohòliques i tabac;;;;
abr-02;48,321;Begudes alcohòliques i tabac;;;;
mar-02;46,436;Begudes alcohòliques i tabac;;;;
feb-02;46,348;Begudes alcohòliques i tabac;;;;
ene-02;46,3;Begudes alcohòliques i tabac;;;;
abr-24;108,812;Vestit i calçat;;;;
mar-24;101,6;Vestit i calçat;;;;
feb-24;99,217;Vestit i calçat;;;;
ene-24;101,067;Vestit i calçat;;;;
dic-23;113,15;Vestit i calçat;;;;
nov-23;114,238;Vestit i calçat;;;;
oct-23;109,614;Vestit i calçat;;;;
sep-23;100,897;Vestit i calçat;;;;
ago-23;98,313;Vestit i calçat;;;;
jul-23;98,918;Vestit i calçat;;;;
jun-23;109,585;Vestit i calçat;;;;
may-23;110,465;Vestit i calçat;;;;
abr-23;107,954;Vestit i calçat;;;;
mar-23;100,44;Vestit i calçat;;;;
feb-23;97,357;Vestit i calçat;;;;
ene-23;98,595;Vestit i calçat;;;;
dic-22;111,381;Vestit i calçat;;;;
nov-22;111,761;Vestit i calçat;;;;
oct-22;108,164;Vestit i calçat;;;;
sep-22;99,711;Vestit i calçat;;;;
ago-22;96,232;Vestit i calçat;;;;
jul-22;96,84;Vestit i calçat;;;;
jun-22;107,796;Vestit i calçat;;;;
may-22;108,442;Vestit i calçat;;;;
abr-22;105,585;Vestit i calçat;;;;
mar-22;97,291;Vestit i calçat;;;;
feb-22;93,722;Vestit i calçat;;;;
ene-22;95,143;Vestit i calçat;;;;
dic-21;109,391;Vestit i calçat;;;;
nov-21;111,726;Vestit i calçat;;;;
oct-21;106,683;Vestit i calçat;;;;
sep-21;95,998;Vestit i calçat;;;;
ago-21;91,143;Vestit i calçat;;;;
jul-21;92,189;Vestit i calçat;;;;
jun-21;105,264;Vestit i calçat;;;;
may-21;106,65;Vestit i calçat;;;;
abr-21;104,254;Vestit i calçat;;;;
mar-21;94,495;Vestit i calçat;;;;
feb-21;90,482;Vestit i calçat;;;;
ene-21;91,726;Vestit i calçat;;;;
dic-20;108,284;Vestit i calçat;;;;
nov-20;110,657;Vestit i calçat;;;;
oct-20;105,562;Vestit i calçat;;;;
sep-20;94,982;Vestit i calçat;;;;
ago-20;90,144;Vestit i calçat;;;;
jul-20;91,262;Vestit i calçat;;;;
jun-20;104,26;Vestit i calçat;;;;
may-20;105,59;Vestit i calçat;;;;
abr-20;103,159;Vestit i calçat;;;;
mar-20;93,512;Vestit i calçat;;;;
feb-20;89,583;Vestit i calçat;;;;
ene-20;90,905;Vestit i calçat;;;;
dic-19;107,348;Vestit i calçat;;;;
nov-19;109,646;Vestit i calçat;;;;
oct-19;104,555;Vestit i calçat;;;;
sep-19;94,045;Vestit i calçat;;;;
ago-19;89,215;Vestit i calçat;;;;
jul-19;90,319;Vestit i calçat;;;;
jun-19;103,318;Vestit i calçat;;;;
may-19;104,632;Vestit i calçat;;;;
abr-19;102,164;Vestit i calçat;;;;
mar-19;92,49;Vestit i calçat;;;;
feb-19;88,591;Vestit i calçat;;;;
ene-19;89,957;Vestit i calçat;;;;
dic-18;106,36;Vestit i calçat;;;;
nov-18;108,566;Vestit i calçat;;;;
oct-18;103,457;Vestit i calçat;;;;
sep-18;93,112;Vestit i calçat;;;;
ago-18;88,42;Vestit i calçat;;;;
jul-18;89,517;Vestit i calçat;;;;
jun-18;102,414;Vestit i calçat;;;;
may-18;103,676;Vestit i calçat;;;;
abr-18;101,096;Vestit i calçat;;;;
mar-18;91,679;Vestit i calçat;;;;
feb-18;87,858;Vestit i calçat;;;;
ene-18;89,23;Vestit i calçat;;;;
dic-17;105,375;Vestit i calçat;;;;
nov-17;107,568;Vestit i calçat;;;;
oct-17;102,406;Vestit i calçat;;;;
sep-17;92,213;Vestit i calçat;;;;
ago-17;87,611;Vestit i calçat;;;;
jul-17;88,672;Vestit i calçat;;;;
jun-17;101,49;Vestit i calçat;;;;
may-17;102,698;Vestit i calçat;;;;
abr-17;100,257;Vestit i calçat;;;;
mar-17;91,013;Vestit i calçat;;;;
feb-17;87,366;Vestit i calçat;;;;
ene-17;88,806;Vestit i calçat;;;;
dic-16;104,884;Vestit i calçat;;;;
nov-16;107,132;Vestit i calçat;;;;
oct-16;101,913;Vestit i calçat;;;;
sep-16;91,653;Vestit i calçat;;;;
ago-16;87,209;Vestit i calçat;;;;
jul-16;88,323;Vestit i calçat;;;;
jun-16;101,335;Vestit i calçat;;;;
may-16;102,544;Vestit i calçat;;;;
abr-16;99,927;Vestit i calçat;;;;
mar-16;90,317;Vestit i calçat;;;;
feb-16;86,629;Vestit i calçat;;;;
ene-16;88,056;Vestit i calçat;;;;
dic-15;103,993;Vestit i calçat;;;;
nov-15;106,155;Vestit i calçat;;;;
oct-15;101,023;Vestit i calçat;;;;
sep-15;90,95;Vestit i calçat;;;;
ago-15;86,643;Vestit i calçat;;;;
jul-15;87,77;Vestit i calçat;;;;
jun-15;100,795;Vestit i calçat;;;;
may-15;101,994;Vestit i calçat;;;;
abr-15;99,453;Vestit i calçat;;;;
mar-15;89,938;Vestit i calçat;;;;
feb-15;86,243;Vestit i calçat;;;;
ene-15;87,723;Vestit i calçat;;;;
dic-14;103,425;Vestit i calçat;;;;
nov-14;105,568;Vestit i calçat;;;;
oct-14;100,453;Vestit i calçat;;;;
sep-14;90,501;Vestit i calçat;;;;
ago-14;86,237;Vestit i calçat;;;;
jul-14;87,344;Vestit i calçat;;;;
jun-14;100,324;Vestit i calçat;;;;
may-14;101,614;Vestit i calçat;;;;
abr-14;99,308;Vestit i calçat;;;;
mar-14;89,992;Vestit i calçat;;;;
feb-14;86,352;Vestit i calçat;;;;
ene-14;87,838;Vestit i calçat;;;;
dic-13;103,189;Vestit i calçat;;;;
nov-13;105,198;Vestit i calçat;;;;
oct-13;100,158;Vestit i calçat;;;;
sep-13;90,429;Vestit i calçat;;;;
ago-13;86,476;Vestit i calçat;;;;
jul-13;87,537;Vestit i calçat;;;;
jun-13;100,109;Vestit i calçat;;;;
may-13;101,191;Vestit i calçat;;;;
abr-13;99;Vestit i calçat;;;;
mar-13;89,92;Vestit i calçat;;;;
feb-13;86,457;Vestit i calçat;;;;
ene-13;88,03;Vestit i calçat;;;;
dic-12;103,207;Vestit i calçat;;;;
nov-12;104,886;Vestit i calçat;;;;
oct-12;99,811;Vestit i calçat;;;;
sep-12;90,362;Vestit i calçat;;;;
ago-12;86,829;Vestit i calçat;;;;
jul-12;87,813;Vestit i calçat;;;;
jun-12;99,987;Vestit i calçat;;;;
may-12;100,917;Vestit i calçat;;;;
abr-12;98,799;Vestit i calçat;;;;
mar-12;89,912;Vestit i calçat;;;;
feb-12;86,579;Vestit i calçat;;;;
ene-12;88,118;Vestit i calçat;;;;
dic-11;102,943;Vestit i calçat;;;;
nov-11;104,391;Vestit i calçat;;;;
oct-11;99,429;Vestit i calçat;;;;
sep-11;90,182;Vestit i calçat;;;;
ago-11;86,828;Vestit i calçat;;;;
jul-11;87,646;Vestit i calçat;;;;
jun-11;99,601;Vestit i calçat;;;;
may-11;100,388;Vestit i calçat;;;;
abr-11;98,358;Vestit i calçat;;;;
mar-11;89,769;Vestit i calçat;;;;
feb-11;86,613;Vestit i calçat;;;;
ene-11;88,027;Vestit i calçat;;;;
dic-10;102,616;Vestit i calçat;;;;
nov-10;103,878;Vestit i calçat;;;;
oct-10;99,114;Vestit i calçat;;;;
sep-10;90,234;Vestit i calçat;;;;
ago-10;87,019;Vestit i calçat;;;;
jul-10;87,683;Vestit i calçat;;;;
jun-10;99,245;Vestit i calçat;;;;
may-10;99,884;Vestit i calçat;;;;
abr-10;97,958;Vestit i calçat;;;;
mar-10;89,457;Vestit i calçat;;;;
feb-10;86,342;Vestit i calçat;;;;
ene-10;87,656;Vestit i calçat;;;;
dic-09;102,016;Vestit i calçat;;;;
nov-09;103,287;Vestit i calçat;;;;
oct-09;98,864;Vestit i calçat;;;;
sep-09;90,242;Vestit i calçat;;;;
ago-09;87,09;Vestit i calçat;;;;
jul-09;87,829;Vestit i calçat;;;;
jun-09;99,6;Vestit i calçat;;;;
may-09;100,4;Vestit i calçat;;;;
abr-09;98,862;Vestit i calçat;;;;
mar-09;90,366;Vestit i calçat;;;;
feb-09;87,408;Vestit i calçat;;;;
ene-09;88,671;Vestit i calçat;;;;
dic-08;102,866;Vestit i calçat;;;;
nov-08;104,181;Vestit i calçat;;;;
oct-08;100,781;Vestit i calçat;;;;
sep-08;92,282;Vestit i calçat;;;;
ago-08;89,07;Vestit i calçat;;;;
jul-08;89,688;Vestit i calçat;;;;
jun-08;101,151;Vestit i calçat;;;;
may-08;101,918;Vestit i calçat;;;;
abr-08;100,602;Vestit i calçat;;;;
mar-08;92,039;Vestit i calçat;;;;
feb-08;89,011;Vestit i calçat;;;;
ene-08;90,172;Vestit i calçat;;;;
dic-07;102,319;Vestit i calçat;;;;
nov-07;103,344;Vestit i calçat;;;;
oct-07;100,108;Vestit i calçat;;;;
sep-07;91,843;Vestit i calçat;;;;
ago-07;88,753;Vestit i calçat;;;;
jul-07;89,339;Vestit i calçat;;;;
jun-07;100,476;Vestit i calçat;;;;
may-07;101,109;Vestit i calçat;;;;
abr-07;99,809;Vestit i calçat;;;;
mar-07;91,28;Vestit i calçat;;;;
feb-07;88,3;Vestit i calçat;;;;
ene-07;89,364;Vestit i calçat;;;;
dic-06;101,151;Vestit i calçat;;;;
nov-06;102,139;Vestit i calçat;;;;
oct-06;99,241;Vestit i calçat;;;;
sep-06;90,968;Vestit i calçat;;;;
ago-06;87,91;Vestit i calçat;;;;
jul-06;88,418;Vestit i calçat;;;;
jun-06;99,343;Vestit i calçat;;;;
may-06;99,98;Vestit i calçat;;;;
abr-06;98,784;Vestit i calçat;;;;
mar-06;90,345;Vestit i calçat;;;;
feb-06;87,432;Vestit i calçat;;;;
ene-06;88,229;Vestit i calçat;;;;
dic-05;99,871;Vestit i calçat;;;;
nov-05;100,794;Vestit i calçat;;;;
oct-05;97,965;Vestit i calçat;;;;
sep-05;89,926;Vestit i calçat;;;;
ago-05;86,977;Vestit i calçat;;;;
jul-05;87,456;Vestit i calçat;;;;
jun-05;97,974;Vestit i calçat;;;;
may-05;98,568;Vestit i calçat;;;;
abr-05;97,481;Vestit i calçat;;;;
mar-05;89,196;Vestit i calçat;;;;
feb-05;86,439;Vestit i calçat;;;;
ene-05;87,227;Vestit i calçat;;;;
dic-04;98,462;Vestit i calçat;;;;
nov-04;99,168;Vestit i calçat;;;;
oct-04;96,415;Vestit i calçat;;;;
sep-04;88,842;Vestit i calçat;;;;
ago-04;86,226;Vestit i calçat;;;;
jul-04;86,549;Vestit i calçat;;;;
jun-04;96,865;Vestit i calçat;;;;
may-04;97,355;Vestit i calçat;;;;
abr-04;95,973;Vestit i calçat;;;;
mar-04;87,782;Vestit i calçat;;;;
feb-04;85,369;Vestit i calçat;;;;
ene-04;85,789;Vestit i calçat;;;;
dic-03;96,427;Vestit i calçat;;;;
nov-03;96,925;Vestit i calçat;;;;
oct-03;93,803;Vestit i calçat;;;;
sep-03;87,041;Vestit i calçat;;;;
ago-03;84,666;Vestit i calçat;;;;
jul-03;85,249;Vestit i calçat;;;;
jun-03;94,928;Vestit i calçat;;;;
may-03;95,431;Vestit i calçat;;;;
abr-03;94,346;Vestit i calçat;;;;
mar-03;86,807;Vestit i calçat;;;;
feb-03;84,384;Vestit i calçat;;;;
ene-03;85,042;Vestit i calçat;;;;
dic-02;94,117;Vestit i calçat;;;;
nov-02;94,748;Vestit i calçat;;;;
oct-02;91,177;Vestit i calçat;;;;
sep-02;83,801;Vestit i calçat;;;;
ago-02;81,52;Vestit i calçat;;;;
jul-02;82,087;Vestit i calçat;;;;
jun-02;89,997;Vestit i calçat;;;;
may-02;90,427;Vestit i calçat;;;;
abr-02;89,456;Vestit i calçat;;;;
mar-02;83,519;Vestit i calçat;;;;
feb-02;81,782;Vestit i calçat;;;;
ene-02;82,7;Vestit i calçat;;;;
abr-24;106,295;Habitatge;;;;
mar-24;105,747;Habitatge;;;;
feb-24;103,426;Habitatge;;;;
ene-24;104,745;Habitatge;;;;
dic-23;101,376;Habitatge;;;;
nov-23;100,846;Habitatge;;;;
oct-23;102,309;Habitatge;;;;
sep-23;103,028;Habitatge;;;;
ago-23;102,618;Habitatge;;;;
jul-23;102,815;Habitatge;;;;
jun-23;102,744;Habitatge;;;;
may-23;101,886;Habitatge;;;;
abr-23;102,225;Habitatge;;;;
mar-23;104,138;Habitatge;;;;
feb-23;106,287;Habitatge;;;;
ene-23;103,156;Habitatge;;;;
dic-22;107,68;Habitatge;;;;
nov-22;106,893;Habitatge;;;;
oct-22;110,79;Habitatge;;;;
sep-22;118,604;Habitatge;;;;
ago-22;125,137;Habitatge;;;;
jul-22;120,761;Habitatge;;;;
jun-22;117,695;Habitatge;;;;
may-22;113,807;Habitatge;;;;
abr-22;114,653;Habitatge;;;;
mar-22;124,213;Habitatge;;;;
feb-22;113,252;Habitatge;;;;
ene-22;112,574;Habitatge;;;;
dic-21;112,736;Habitatge;;;;
nov-21;105,82;Habitatge;;;;
oct-21;107,963;Habitatge;;;;
sep-21;103,846;Habitatge;;;;
ago-21;100,308;Habitatge;;;;
jul-21;98,144;Habitatge;;;;
jun-21;98,903;Habitatge;;;;
may-21;96,832;Habitatge;;;;
abr-21;96,478;Habitatge;;;;
mar-21;93,309;Habitatge;;;;
feb-21;90,314;Habitatge;;;;
ene-21;95,346;Habitatge;;;;
dic-20;91,448;Habitatge;;;;
nov-20;90,572;Habitatge;;;;
oct-20;89,625;Habitatge;;;;
sep-20;90,674;Habitatge;;;;
ago-20;89,936;Habitatge;;;;
jul-20;89,69;Habitatge;;;;
jun-20;89,206;Habitatge;;;;
may-20;87,722;Habitatge;;;;
abr-20;87,674;Habitatge;;;;
mar-20;89,481;Habitatge;;;;
feb-20;91,276;Habitatge;;;;
ene-20;92,416;Habitatge;;;;
dic-19;91,509;Habitatge;;;;
nov-19;92,563;Habitatge;;;;
oct-19;92,973;Habitatge;;;;
sep-19;92;Habitatge;;;;
ago-19;92,469;Habitatge;;;;
jul-19;93,358;Habitatge;;;;
jun-19;92,752;Habitatge;;;;
may-19;93,329;Habitatge;;;;
abr-19;93,84;Habitatge;;;;
mar-19;94,008;Habitatge;;;;
feb-19;94,765;Habitatge;;;;
ene-19;95,808;Habitatge;;;;
dic-18;96,354;Habitatge;;;;
nov-18;96,486;Habitatge;;;;
oct-18;96,717;Habitatge;;;;
sep-18;96,621;Habitatge;;;;
ago-18;95,587;Habitatge;;;;
jul-18;94,976;Habitatge;;;;
jun-18;94,134;Habitatge;;;;
may-18;93,635;Habitatge;;;;
abr-18;91,994;Habitatge;;;;
mar-18;92,071;Habitatge;;;;
feb-18;93,881;Habitatge;;;;
ene-18;93,52;Habitatge;;;;
dic-17;94,026;Habitatge;;;;
nov-17;93,882;Habitatge;;;;
oct-17;93,039;Habitatge;;;;
sep-17;91,762;Habitatge;;;;
ago-17;91,685;Habitatge;;;;
jul-17;91,569;Habitatge;;;;
jun-17;91,782;Habitatge;;;;
may-17;91,525;Habitatge;;;;
abr-17;91,292;Habitatge;;;;
mar-17;91,184;Habitatge;;;;
feb-17;92,601;Habitatge;;;;
ene-17;95,455;Habitatge;;;;
dic-16;92,824;Habitatge;;;;
nov-16;91,625;Habitatge;;;;
oct-16;91,018;Habitatge;;;;
sep-16;89,15;Habitatge;;;;
ago-16;88,736;Habitatge;;;;
jul-16;88,761;Habitatge;;;;
jun-16;88,627;Habitatge;;;;
may-16;86,827;Habitatge;;;;
abr-16;86,647;Habitatge;;;;
mar-16;87,385;Habitatge;;;;
feb-16;87,45;Habitatge;;;;
ene-16;88,877;Habitatge;;;;
dic-15;92,063;Habitatge;;;;
nov-15;91,988;Habitatge;;;;
oct-15;91,41;Habitatge;;;;
sep-15;91,755;Habitatge;;;;
ago-15;92,855;Habitatge;;;;
jul-15;94,075;Habitatge;;;;
jun-15;93,782;Habitatge;;;;
may-15;92,895;Habitatge;;;;
abr-15;93,317;Habitatge;;;;
mar-15;93,255;Habitatge;;;;
feb-15;93,284;Habitatge;;;;
ene-15;94,525;Habitatge;;;;
dic-14;94,267;Habitatge;;;;
nov-14;94,441;Habitatge;;;;
oct-14;95,705;Habitatge;;;;
sep-14;96,016;Habitatge;;;;
ago-14;94,665;Habitatge;;;;
jul-14;94,148;Habitatge;;;;
jun-14;94,623;Habitatge;;;;
may-14;95,143;Habitatge;;;;
abr-14;95,087;Habitatge;;;;
mar-14;95,122;Habitatge;;;;
feb-14;95,076;Habitatge;;;;
ene-14;94,92;Habitatge;;;;
dic-13;94,472;Habitatge;;;;
nov-13;94,408;Habitatge;;;;
oct-13;94,483;Habitatge;;;;
sep-13;93,938;Habitatge;;;;
ago-13;93,811;Habitatge;;;;
jul-13;93,05;Habitatge;;;;
jun-13;92,716;Habitatge;;;;
may-13;92,648;Habitatge;;;;
abr-13;92,721;Habitatge;;;;
mar-13;94,17;Habitatge;;;;
feb-13;94,04;Habitatge;;;;
ene-13;93,848;Habitatge;;;;
dic-12;94,479;Habitatge;;;;
nov-12;94,541;Habitatge;;;;
oct-12;94,676;Habitatge;;;;
sep-12;95,269;Habitatge;;;;
ago-12;94,052;Habitatge;;;;
jul-12;93,751;Habitatge;;;;
jun-12;92,346;Habitatge;;;;
may-12;92,523;Habitatge;;;;
abr-12;92,284;Habitatge;;;;
mar-12;90,27;Habitatge;;;;
feb-12;90,053;Habitatge;;;;
ene-12;89,895;Habitatge;;;;
dic-11;89,431;Habitatge;;;;
nov-11;89,367;Habitatge;;;;
oct-11;89,221;Habitatge;;;;
sep-11;88,83;Habitatge;;;;
ago-11;88,752;Habitatge;;;;
jul-11;88,919;Habitatge;;;;
jun-11;87,99;Habitatge;;;;
may-11;88,057;Habitatge;;;;
abr-11;88,167;Habitatge;;;;
mar-11;87,551;Habitatge;;;;
feb-11;87,194;Habitatge;;;;
ene-11;86,921;Habitatge;;;;
dic-10;84,553;Habitatge;;;;
nov-10;84,279;Habitatge;;;;
oct-10;83,966;Habitatge;;;;
sep-10;82,841;Habitatge;;;;
ago-10;82,727;Habitatge;;;;
jul-10;82,815;Habitatge;;;;
jun-10;81,768;Habitatge;;;;
may-10;81,845;Habitatge;;;;
abr-10;81,613;Habitatge;;;;
mar-10;81,026;Habitatge;;;;
feb-10;80,705;Habitatge;;;;
ene-10;80,636;Habitatge;;;;
dic-09;79,981;Habitatge;;;;
nov-09;79,944;Habitatge;;;;
oct-09;79,673;Habitatge;;;;
sep-09;79,533;Habitatge;;;;
ago-09;79,626;Habitatge;;;;
jul-09;79,438;Habitatge;;;;
jun-09;79,192;Habitatge;;;;
may-09;78,876;Habitatge;;;;
abr-09;78,922;Habitatge;;;;
mar-09;80,082;Habitatge;;;;
feb-09;80,047;Habitatge;;;;
ene-09;79,717;Habitatge;;;;
dic-08;79,34;Habitatge;;;;
nov-08;79,725;Habitatge;;;;
oct-08;79,878;Habitatge;;;;
sep-08;79,785;Habitatge;;;;
ago-08;79,803;Habitatge;;;;
jul-08;80,043;Habitatge;;;;
jun-08;78,696;Habitatge;;;;
may-08;78,218;Habitatge;;;;
abr-08;77,688;Habitatge;;;;
mar-08;76,977;Habitatge;;;;
feb-08;76,433;Habitatge;;;;
ene-08;76,198;Habitatge;;;;
dic-07;74,905;Habitatge;;;;
nov-07;74,809;Habitatge;;;;
oct-07;74,406;Habitatge;;;;
sep-07;73,914;Habitatge;;;;
ago-07;73,937;Habitatge;;;;
jul-07;73,849;Habitatge;;;;
jun-07;73,596;Habitatge;;;;
may-07;73,406;Habitatge;;;;
abr-07;73,27;Habitatge;;;;
mar-07;73,021;Habitatge;;;;
feb-07;72,576;Habitatge;;;;
ene-07;72,336;Habitatge;;;;
dic-06;71,496;Habitatge;;;;
nov-06;71,421;Habitatge;;;;
oct-06;71,385;Habitatge;;;;
sep-06;71,622;Habitatge;;;;
ago-06;71,689;Habitatge;;;;
jul-06;71,617;Habitatge;;;;
jun-06;71,37;Habitatge;;;;
may-06;71,293;Habitatge;;;;
abr-06;71,031;Habitatge;;;;
mar-06;70,283;Habitatge;;;;
feb-06;69,928;Habitatge;;;;
ene-06;69,637;Habitatge;;;;
dic-05;68,128;Habitatge;;;;
nov-05;68,207;Habitatge;;;;
oct-05;68,08;Habitatge;;;;
sep-05;67,67;Habitatge;;;;
ago-05;67,375;Habitatge;;;;
jul-05;67,082;Habitatge;;;;
jun-05;66,523;Habitatge;;;;
may-05;66,297;Habitatge;;;;
abr-05;66,28;Habitatge;;;;
mar-05;65,378;Habitatge;;;;
feb-05;64,877;Habitatge;;;;
ene-05;64,618;Habitatge;;;;
dic-04;64,277;Habitatge;;;;
nov-04;64,368;Habitatge;;;;
oct-04;64,34;Habitatge;;;;
sep-04;63,792;Habitatge;;;;
ago-04;63,641;Habitatge;;;;
jul-04;63,413;Habitatge;;;;
jun-04;63,206;Habitatge;;;;
may-04;63,073;Habitatge;;;;
abr-04;62,861;Habitatge;;;;
mar-04;62,625;Habitatge;;;;
feb-04;62,321;Habitatge;;;;
ene-04;62,157;Habitatge;;;;
dic-03;61,729;Habitatge;;;;
nov-03;61,702;Habitatge;;;;
oct-03;61,532;Habitatge;;;;
sep-03;61,359;Habitatge;;;;
ago-03;61,283;Habitatge;;;;
jul-03;61,157;Habitatge;;;;
jun-03;61,098;Habitatge;;;;
may-03;61,021;Habitatge;;;;
abr-03;61,147;Habitatge;;;;
mar-03;61,123;Habitatge;;;;
feb-03;60,749;Habitatge;;;;
ene-03;60,487;Habitatge;;;;
dic-02;60,022;Habitatge;;;;
nov-02;59,916;Habitatge;;;;
oct-02;59,927;Habitatge;;;;
sep-02;59,863;Habitatge;;;;
ago-02;59,696;Habitatge;;;;
jul-02;59,607;Habitatge;;;;
jun-02;59,47;Habitatge;;;;
may-02;59,324;Habitatge;;;;
abr-02;59,223;Habitatge;;;;
mar-02;59,041;Habitatge;;;;
feb-02;58,888;Habitatge;;;;
ene-02;58,8;Habitatge;;;;
abr-24;112,682;Parament de casa;;;;
mar-24;112,312;Parament de casa;;;;
feb-24;112,134;Parament de casa;;;;
ene-24;112,007;Parament de casa;;;;
dic-23;112,33;Parament de casa;;;;
nov-23;112,289;Parament de casa;;;;
oct-23;112,175;Parament de casa;;;;
sep-23;111,844;Parament de casa;;;;
ago-23;111,73;Parament de casa;;;;
jul-23;111,617;Parament de casa;;;;
jun-23;112,367;Parament de casa;;;;
may-23;112,13;Parament de casa;;;;
abr-23;111,823;Parament de casa;;;;
mar-23;111,173;Parament de casa;;;;
feb-23;110,557;Parament de casa;;;;
ene-23;110,157;Parament de casa;;;;
dic-22;110,166;Parament de casa;;;;
nov-22;109,386;Parament de casa;;;;
oct-22;108,58;Parament de casa;;;;
sep-22;107,695;Parament de casa;;;;
ago-22;107,174;Parament de casa;;;;
jul-22;106,867;Parament de casa;;;;
jun-22;106,704;Parament de casa;;;;
may-22;105,984;Parament de casa;;;;
abr-22;105,164;Parament de casa;;;;
mar-22;103,616;Parament de casa;;;;
feb-22;102,689;Parament de casa;;;;
ene-22;102,099;Parament de casa;;;;
dic-21;101,549;Parament de casa;;;;
nov-21;101,033;Parament de casa;;;;
oct-21;100,529;Parament de casa;;;;
sep-21;99,937;Parament de casa;;;;
ago-21;99,647;Parament de casa;;;;
jul-21;99,692;Parament de casa;;;;
jun-21;100,156;Parament de casa;;;;
may-21;100,065;Parament de casa;;;;
abr-21;99,736;Parament de casa;;;;
mar-21;99,417;Parament de casa;;;;
feb-21;99,04;Parament de casa;;;;
ene-21;99,198;Parament de casa;;;;
dic-20;99,478;Parament de casa;;;;
nov-20;99,482;Parament de casa;;;;
oct-20;99,323;Parament de casa;;;;
sep-20;99;Parament de casa;;;;
ago-20;98,844;Parament de casa;;;;
jul-20;98,906;Parament de casa;;;;
jun-20;99,344;Parament de casa;;;;
may-20;99,435;Parament de casa;;;;
abr-20;99,149;Parament de casa;;;;
mar-20;98,819;Parament de casa;;;;
feb-20;98,551;Parament de casa;;;;
ene-20;98,49;Parament de casa;;;;
dic-19;99,121;Parament de casa;;;;
nov-19;99,249;Parament de casa;;;;
oct-19;99,061;Parament de casa;;;;
sep-19;98,573;Parament de casa;;;;
ago-19;98,415;Parament de casa;;;;
jul-19;98,287;Parament de casa;;;;
jun-19;99,119;Parament de casa;;;;
may-19;99,03;Parament de casa;;;;
abr-19;98,74;Parament de casa;;;;
mar-19;98,407;Parament de casa;;;;
feb-19;98,203;Parament de casa;;;;
ene-19;98,096;Parament de casa;;;;
dic-18;98,57;Parament de casa;;;;
nov-18;98,474;Parament de casa;;;;
oct-18;98,245;Parament de casa;;;;
sep-18;97,887;Parament de casa;;;;
ago-18;97,692;Parament de casa;;;;
jul-18;97,654;Parament de casa;;;;
jun-18;98,487;Parament de casa;;;;
may-18;98,403;Parament de casa;;;;
abr-18;98,175;Parament de casa;;;;
mar-18;97,846;Parament de casa;;;;
feb-18;97,609;Parament de casa;;;;
ene-18;97,57;Parament de casa;;;;
dic-17;98,227;Parament de casa;;;;
nov-17;98,228;Parament de casa;;;;
oct-17;97,958;Parament de casa;;;;
sep-17;97,726;Parament de casa;;;;
ago-17;97,431;Parament de casa;;;;
