Any;IPC Catalunya;IPC Espanya;;
jul-06;78,687;80,89;;
jun-06;79,09;81,374;;
may-06;78,898;81,251;;
abr-06;78,59;80,959;;
mar-06;77,515;79,833;;
feb-06;77,071;79,272;;
ene-06;77,142;79,234;;
dic-05;77,371;79,557;;
nov-05;77,116;79,386;;
oct-05;76,973;79,266;;
sep-05;76,362;78,627;;
ago-05;75,926;78,147;;
jul-05;75,591;77,805;;
jun-05;75,975;78,284;;
may-05;75,759;78,102;;
abr-05;75,575;77,953;;
mar-05;74,504;76,846;;
feb-05;73,897;76,243;;
ene-05;73,758;76,046;;
dic-04;74,191;76,692;;
nov-04;74,174;76,767;;
oct-04;73,974;76,575;;
sep-04;73,23;75,796;;
ago-04;73,169;75,661;;
jul-04;72,75;75,328;;
jun-04;73,243;75,904;;
may-04;73,092;75,784;;
abr-04;72,665;75,34;;
mar-04;71,667;74,322;;
feb-04;71,197;73,807;;
ene-04;71,192;73,773;;
dic-03;71,606;74,294;;
nov-03;71,373;74,167;;
oct-03;71,162;73,926;;
sep-03;70,626;73,431;;
ago-03;70,455;73,213;;
jul-03;70,062;72,878;;
jun-03;70,463;73,338;;
may-03;70,368;73,289;;
abr-03;70,49;73,357;;
mar-03;69,907;72,765;;
feb-03;69,422;72,264;;
ene-03;69,256;72,111;;
dic-02;69,458;72,409;;
nov-02;69,077;72,169;;
oct-02;69,006;72,058;;
sep-02;68,304;71,351;;
ago-02;68,068;71,085;;
jul-02;67,855;70,882;;
jun-02;68,316;71,377;;
may-02;68,221;71,374;;
abr-02;67,983;71,118;;
mar-02;67,094;70,165;;
feb-02;66,547;69,59;;
ene-02;66,5;69,5;;
